"person_id","loan_id","cb_id","person_age","person_income","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length"
GF79eYM4-xcMP,UJDU4wt1-yGWW,DOMft98J-Z3qm,22,32000,Rent,1.0,Education,D,5400,16.29,1,0.17,Y,2
mpfjpS76-GpMH,U3GtqMpT-D0SF,lusooYZf-PCbH,23,80000,Rent,6.0,Venture,A,6500,7.51,0,0.08,N,3
SAEUImFs-iXAT,"6bKNACAB-up1b","45kngxnO-kwyt",35,50000,Mortgage,5.0,Homeimprovement,C,6000,13.49,0,0.12,N,6
KfXD7SA4-u8n0,eQ65axND-gsrC,OIRxH52b-aWjQ,28,55000,Mortgage,6.0,Education,A,2400,11.02,0,0.04,N,8
WqgH0WAS-oyzU,uoezEWJq-SLXA,cpNNIy77-kuMX,24,60000,Rent,2.0,Debtconsolidation,E,25000,11.02,1,0.42,Y,2
F3ZPAIUX-FkIM,hDW1Xe27-WuzF,Bw3siA6F-Uqzz,31,30000,Rent,0.0,Education,D,6600,16.49,1,0.22,Y,8
K61MH9Be-kQJ1,JvkTGpaD-ra8i,zSExL9u6-EOE4,32,230000,Rent,0.0,Homeimprovement,A,15000,5.99,0,0.07,N,5
uTwN4jfI-o1im,fSj6OfUR-r22T,"4shhmqR9-ExxD",26,95000,Own,0.0,Medical,A,1000,8.94,0,0.01,N,4
Uw9ACv2a-83Sp,Pj4s7oHr-xYyG,nPNFQTJN-a9Ij,21,18000,Own,3.0,Homeimprovement,D,4900,14.54,1,0.27,Y,4
ceUhYHhp-0ItZ,icp017PO-E5bR,sf9aU2NA-dkuJ,28,158367,Mortgage,5.0,Medical,A,12000,6.62,0,0.08,N,8
hcw3tCRo-D9d2,Z0XF5Cj7-DPKI,"6lcqAs1v-pk6E",25,42000,Rent,0.0,Education,E,7400,16.32,1,0.18,N,4
RzhtHzKU-u8Me,"7mxJsUIb-UBwC",ym7ApppJ-j52F,21,18000,Rent,1.0,Homeimprovement,F,5600,18.09,1,0.31,N,4
pw0JJppf-oZY4,"1wBHi6nh-s2Am",vRssolvu-mb5y,24,65000,Mortgage,8.0,Personal,B,10000,11.99,0,0.15,N,4
RH6xOffd-7tKs,arOLDDpY-0gzJ,IJZUFcoJ-ojiy,33,45600,Rent,0.0,Debtconsolidation,A,11200,5.79,0,0.25,N,8
xAuT0jew-bcQx,HQhWN8Ol-daYl,p0cFZkPr-UZTd,35,92000,Mortgage,11.0,Venture,A,12000,6.99,0,0.13,N,8
e23slzE8-B0Ax,c048XsHF-y51I,lllfq9ft-0KFp,29,24960,Rent,13.0,Venture,A,4000,5.42,0,0.16,N,6
F8sjbtYh-Ntuc,s23EevcN-d0JX,q3SsWfhh-eib9,22,73000,Mortgage,6.0,Education,B,7000,10.59,0,0.1,N,2
zQm81YBs-xUux,s0EbBX99-gTop,ExBLn9BN-psh1,38,65000,Mortgage,7.0,Medical,C,10000,13.49,0,0.15,N,12
SragtXBq-e1es,OfP5DP80-WTnh,vWBPETFN-WZbN,25,80140,Mortgage,4.0,Debtconsolidation,B,11300,10.37,0,0.14,N,2
WS5U2tKu-iGtE,nZJqWH9s-yKAW,fJ0KRNk3-k0Rx,22,43000,Rent,1.0,Venture,D,7500,14.96,1,0.17,N,3
HYRvIacY-g1Rh,urOMY1nD-MYFk,tzv1CwsL-H9w5,24,85000,Mortgage,8.0,Venture,C,10000,12.99,0,0.12,Y,4
t4nGALZ9-qoWH,PHgXlMLi-jOJn,I6lf4QFE-lBMA,25,28800,Rent,6.0,Medical,A,14800,7.49,1,0.51,N,3
"7WAynrrp-PCGq",wdOHSSFk-ILln,"18S870Ry-SHtR",44,48000,Mortgage,12.0,Debtconsolidation,B,17500,12.18,0,0.36,N,15
UKiQcORL-l5e8,"2xs9yjXl-US5E",E499GRKc-7zRq,37,45000,Own,11.0,Education,B,12000,12.21,0,0.27,N,12
piWTAzmF-COq7,hdLDtWCu-wE92,GABpvH8i-hzwW,25,70200,Rent,9.0,Personal,E,18000,16.45,0,0.26,Y,3
CZWcNgWA-kbk4,MjTNYsmN-6qBc,FxGG9RvP-Le3z,26,87000,Mortgage,9.0,Debtconsolidation,C,25000,12.73,0,0.29,N,2
"9xs4luPf-alJ7",pQGKBFmG-PHpK,CCHY3YQm-1Tgn,24,30000,Rent,0.0,Education,A,12000,6.91,1,0.4,N,3
gPzGTvzd-YCHw,FptECc0u-OiGF,ME0OTs5h-qjMp,22,29000,Rent,2.0,Education,B,10500,9.99,1,0.36,N,3
TgE5b4GO-Dt74,BH1pq4aj-trt0,oUk9piHQ-eXRY,24,145000,Mortgage,0.0,Personal,B,7000,10.99,0,0.05,N,2
ER2fcnk6-XhNN,P6kekLZk-o2vx,zumQqjxf-0gct,22,80000,Mortgage,5.0,Venture,B,9500,11.71,0,0.12,N,3
"2E2Jp2gN-3Rc2","0Y0rHbib-kYJ4",DfrYmDZi-YdO8,53,95000,Own,24.0,Personal,A,6000,5.42,0,0.06,N,30
pI7XYjvw-M7pZ,Gw81Gmj9-MM0o,hAwxkeIx-x1hm,27,34900,Rent,3.0,Medical,E,5000,16.7,1,0.14,Y,9
pMajKnu6-53f4,RpFauaAu-LzeN,QHGwl9TO-5WKP,27,44640,Rent,0.0,Medical,B,12800,11.83,0,0.29,N,9
pB5tO95i-S3K9,EXrxXz9O-HOTs,A4YTvklP-hZTH,32,48000,Rent,3.0,Debtconsolidation,C,9000,13.99,0,0.19,N,8
"4wCAc0zs-nx0m",izIi5MpW-32T0,Pdz1pzaM-KRf8,33,101000,Mortgage,8.0,Homeimprovement,A,5000,7.49,0,0.05,N,7
WUf7AE5v-Bn1Y,DBz5tBbR-bKxN,d2sLoQc3-bwca,26,22000,Rent,10.0,Venture,B,10000,9.63,1,0.45,N,4
"19PcvNsb-Q2EX",YEt0gafB-dAdf,U52bX4kH-XWDk,22,30000,Rent,0.0,Medical,A,7000,8.9,0,0.23,N,4
GxkkXb9k-vw0u,EAHTXplH-ZFxc,zmXGtrac-CkdJ,40,150000,Mortgage,5.0,Personal,B,12000,10.37,0,0.08,N,15
PSkJ5wLC-05pL,RWv9rWB1-dkb3,S0rnRotr-cCCN,40,117000,Rent,4.0,Homeimprovement,B,10625,11.14,0,0.09,N,13
AeBCNL3w-hg3G,FiRfW7Rl-hTJu,z31IOaKZ-Ijg0,36,65000,Mortgage,3.0,Venture,C,4000,13.48,0,0.06,Y,12
yrL27Gzn-imvW,zjwERmLe-r97O,uQdCArAk-ISO3,31,65000,Mortgage,3.0,Debtconsolidation,A,10000,11.03,,0.153846153,N,3
rz6KYxBX-SCcJ,rexKO1Fs-lZn3,gngDxDmO-YH6A,32,19200,Rent,0.0,Venture,B,5000,9.99,1,0.26,N,6
TJvond5k-OZsJ,Sq9jFOjZ-nd4A,LOrdD3hM-coOU,22,96000,Mortgage,3.0,Education,C,11400,13.04,0,0.12,Y,2
SeJTCFwO-KrbQ,"9mT4cjye-2LDX",CLOXuuct-rSpH,41,50000,Rent,0.0,Personal,B,6000,8.88,0,0.12,N,17
mBfSbp46-yZFd,"6r940j6C-xKkU","6hzt9yiG-yOAk",26,48000,Rent,2.0,Education,B,25000,9.64,1,0.52,N,4
"8AYaI8lG-eovU",jAAgFdfl-6Y7e,"5s9U5yce-1d0J",30,57000,Mortgage,6.0,Personal,A,4000,8.0,0,0.07,N,7
oiqjo4kK-2ieZ,npEeneRK-zG8l,r8GH3oaq-pSQp,26,58000,Rent,10.0,Education,C,9600,13.99,0,0.17,Y,4
RJRYhR8z-Lq2G,lklKeiRj-ugSo,NGJInTnJ-WbA5,21,68004,Mortgage,5.0,Debtconsolidation,B,16000,11.26,0,0.24,N,3
RYzaKgT3-rCwx,BldAdx3r-PA8T,ASkICWNk-c9NY,29,35000,Rent,12.0,Debtconsolidation,A,1800,5.42,0,0.05,N,7
xxWXdgTs-HpIA,aar8r6b7-sxMn,S2DLUfLk-YNrN,22,48000,Rent,0.0,Debtconsolidation,C,14400,13.49,0,0.3,Y,2
imn9ic93-oSMp,eH8Odfuj-RT5T,TfaAaHAR-4gI0,31,48996,Mortgage,0.0,Homeimprovement,D,8500,14.11,1,0.17,Y,9
"4ePEsQ0Q-YPAT",a4Ei4NHR-M6JB,P0QctpbZ-tA9E,22,76296,Mortgage,6.0,Venture,A,18000,7.88,0,0.24,N,3
cG0aCPes-61zD,CjrqlOBY-C0rM,saYaqFAW-ePFO,23,50000,Mortgage,3.0,Personal,B,10000,10.99,0,0.2,N,3
WWsDFeYW-ILfo,iPZw4isE-pQII,imr5pNYL-ahjh,22,90000,Mortgage,6.0,Debtconsolidation,A,16000,6.03,0,0.18,N,3
NGFGiGBt-qzAR,nAcEqf1T-TwJv,"2C0wGh9W-akJo",25,25000,Rent,5.0,Medical,B,9000,11.49,1,0.36,N,2
XWUdDkUz-R573,"4cQvBgr6-igPe",vqCqOM6t-sQ1M,37,53532,Mortgage,12.0,Debtconsolidation,A,4000,5.42,0,0.07,N,11
"21s9gcIZ-UwzN",v05ojhjr-eCy4,wafAAtQh-BOoH,26,26000,Rent,10.0,Education,B,20050,9.76,1,0.77,N,2
K58ydOiW-a2I3,sxSX7s1R-Wo1r,o65QapOc-tR0Z,30,36000,Rent,6.0,Debtconsolidation,C,4500,13.49,0,0.13,Y,6
J3jGNZeh-OzZE,NaelpPC5-t2kz,GvqL52S8-S8OH,26,84996,Rent,0.0,Medical,B,9000,11.26,0,0.11,N,2
Zh1Ov9Hn-1ZH0,cQ4BSi1f-8X5H,O8M4k2hD-jxfz,35,26000,Rent,3.0,Personal,A,8000,7.9,1,0.31,N,6
cK9KSdTW-SABw,QiGEuof0-QhSt,QjtP3Yff-14AH,28,150000,Mortgage,12.0,Education,C,10000,11.02,0,0.07,Y,6
G5aDf64O-PH6C,sH2uqDS7-NfhJ,zndaY8Bz-M4Os,26,31104,Rent,1.0,Debtconsolidation,B,4000,9.99,0,0.13,N,3
duaNutsR-3WUc,x5vU1QNy-Ef7b,FQ6lnvgr-2l6q,28,61000,Rent,9.0,Personal,B,25000,9.91,1,0.41,N,7
pwTzr4SQ-47xw,KGblymA5-FOvO,AaFWnCZ5-rQWE,33,62400,Rent,4.0,Education,B,15000,11.99,0,0.24,N,8
"7K2Y0gam-BFAD",AFRsOe1g-ZMCv,DywZmbUm-P5Jj,31,215000,Mortgage,2.0,Medical,B,15000,10.99,0,0.07,N,10
qoGIpKHY-qEyQ,BH9qOpoC-Psvs,lmAkaOGs-iN3k,29,60000,Rent,13.0,Homeimprovement,D,17000,14.96,0,0.28,N,8
tSR2LyoA-l8Nj,jD61gjEL-833X,gpjtrh4b-3ORt,23,95000,Mortgage,7.0,Education,B,14400,11.83,0,0.15,N,3
b7tdrgrW-ayvE,c2TKWh0I-ocZx,"4inK3Tv4-C6LS",26,40000,Rent,1.0,Personal,B,12000,11.58,0,0.3,N,2
u5Q7SuLe-jnL8,aDmoCJlD-zlMl,B12Hn55d-yPgs,32,110888,Mortgage,0.0,Homeimprovement,B,10400,9.91,0,0.09,N,7
CGvEgcZB-z68S,rQAnQB3b-Hzn4,qUXky5TB-OOLb,33,75693,Mortgage,5.0,Education,B,22000,10.25,0,0.29,N,10
KY6sbzeT-fItT,eGaJrCEq-g6UD,dLgDMIzs-sUm1,22,51000,Rent,2.0,Education,B,3200,10.99,0,0.06,N,2
jmYuF49a-NigK,r8RIXw57-PLAs,"0b5SqZea-NFcI",36,60000,Mortgage,12.0,Education,A,15000,7.88,0,0.25,N,17
UauhsgF0-EfyO,Z2d2rqeT-q5FQ,e4HUwrtC-4GQa,24,175000,Mortgage,9.0,Education,A,10000,5.42,0,0.06,N,3
mvkJyvGc-yYuw,h0oDhLmM-OrEm,IKk1KTWI-y4IG,22,54000,Rent,4.0,Debtconsolidation,C,9000,15.96,0,0.17,Y,3
WXqkgy4i-lLX0,uIe8aQoy-hIqe,dlqxbvAI-6b0K,25,58020,Rent,9.0,Personal,A,2000,6.91,0,0.03,N,4
OUcAOZQh-aQLy,"9dov9RBP-etrY",LaJgumz0-dtyI,39,65000,Mortgage,3.0,Education,D,6000,15.62,0,0.09,Y,14
YYccxS6O-Md7i,METBCebc-aqRh,ul36WZkd-cd0e,25,32000,Rent,2.0,Debtconsolidation,B,8000,10.62,0,0.25,N,3
gEL6Dv0l-D5K1,zqpMWuTi-pHbq,mL9RqhKf-MGew,22,58000,Rent,3.0,Medical,B,12000,11.02,1,0.21,N,3
nTOKgZCT-YPUD,t9dKvc6a-4eAL,IEHObaim-KPC9,29,115000,Mortgage,3.0,Medical,C,22000,15.23,0,0.19,Y,7
"32l2T460-mTvw",CmmyuUmI-a2MF,"9QA4JH97-x3Nc",30,119700,Mortgage,2.0,Homeimprovement,A,9500,8.94,0,0.08,N,10
vX0220AL-N1Xc,"2OuPu8qh-deSt",KSWNLJ5O-9B30,28,48000,Rent,5.0,Debtconsolidation,B,15000,11.99,1,0.31,N,10
F3Y67rIn-jckm,wErmE5GG-WOjr,Ecjh4AUO-UTRq,26,47000,Rent,0.0,Homeimprovement,D,25000,15.28,1,0.53,Y,2
HIWfRjYs-Z9XU,tilhQ4Ny-usUE,yGtY95es-ueBR,40,44000,Rent,0.0,Personal,A,6000,11.02,1,0.14,N,12
"9n6XeDpD-zA76",vuv9BwOl-wkBu,r9Bgg2IY-F30Y,28,40000,Rent,4.79,Venture,B,4500,14.74,1,0.1,N,10
liU6JDDC-iLyi,ugIKGh02-Z28Y,"4ha2yJYR-F2gD",29,40000,Mortgage,8.0,Education,A,8000,8.59,0,0.2,N,10
Tvok7xAu-oB5c,GAtuyfvq-9kKD,HfsqwiRm-nB28,23,50000,Rent,4.0,Debtconsolidation,B,6000,11.49,0,0.12,N,3
H0kg87Jp-yE5w,"75EZfLIt-J7D2",vU3IFLY6-9Mji,23,72000,Own,4.79,Personal,A,15000,6.99,0,0.21,N,2
"1sQAq30P-CNjD",JF6ZOM0P-yusE,CPjlwu6t-xhpQ,40,64200,Rent,2.0,Education,A,3000,7.74,0,0.05,N,13
XQXr7Gvt-CTGS,kj9NO8vA-OXoD,Rf4IdSi2-9XtZ,23,33012,Own,2.0,Education,B,12200,10.99,0,0.37,N,4
HlvAnJY2-nEcK,LDph9RXg-ztvn,lFFBcLuF-xj9m,24,78000,Mortgage,3.0,Debtconsolidation,A,8500,7.51,0,0.11,N,4
BYmg43Fi-Mvaj,i536G5cd-egh3,M2sgMabi-q39B,21,40000,Rent,3.0,Education,D,7000,14.46,0,0.17,N,3
vM7jxZHX-hPQf,XJDd9tQg-onCB,jvXpnOTv-W8gD,29,32997,Rent,7.0,Debtconsolidation,A,10000,5.79,0,0.3,N,7
mtKsQFYC-LKKm,IDluiXvd-GiaF,GC5pNzCD-5LGU,26,35000,Rent,10.0,Education,B,12875,11.02,1,0.37,N,3
xnzIpFAr-XXwH,TzCPj24J-ca8m,UQob4enS-T6vi,38,104800,Mortgage,6.0,Homeimprovement,A,14000,6.03,0,0.13,N,11
AaDuh9Ug-p1By,"681AjXXg-yUw5",P9shydKC-WLnl,25,191000,Mortgage,1.0,Medical,B,10000,12.53,0,0.05,N,4
IJKlCu5g-hK22,Ki2Rr7Di-8Is1,b8bJFyze-0WBF,24,18000,Own,0.0,Homeimprovement,A,6250,6.54,1,0.35,N,4
Q5dqB97I-TEjJ,UjQWv0nx-pw3f,"1G4XQSD0-EUYu",24,85000,Mortgage,8.0,Education,B,20000,11.11,0,0.24,N,4
gYjoo3jD-emAd,uDlmyeNO-dbNN,CAcJauAz-ctJX,25,44000,Mortgage,4.0,Medical,D,5550,14.11,1,0.13,Y,4
"4zf4iTpX-Ju8u",eEisjK1m-T4wm,YaMTpkN1-NQCk,29,101000,Own,6.0,Homeimprovement,B,12000,12.18,0,0.12,N,8
lUBk5Wxb-yRTh,"7Dxvjo5Z-Jkq2","7fvOUWjo-u4wJ",35,30000,Rent,0.0,Education,A,6475,5.42,0,0.22,N,7
uJzmhtcc-Bvrn,Df8TFip6-2qsi,CCaSm1ZG-ZgLX,27,290000,Mortgage,0.0,Medical,B,7875,9.99,0,0.03,N,6
KI4650uQ-ACBq,zocNNpx5-2jSB,hOqbstIi-ruOB,24,111239,Mortgage,1.0,Education,A,14000,7.9,0,0.13,N,4
DWHBhXbl-Gehi,zrrQBPxw-lbve,DumANavc-raDd,22,65000,Mortgage,4.0,Debtconsolidation,C,8100,13.11,0,0.12,N,4
POWwCncY-QrWX,MvJx2afg-DEOf,Fss3MNHp-Adsh,28,50000,Rent,4.0,Debtconsolidation,B,7200,11.02,0,0.14,N,7
Qubo9kBd-zxjG,IEBoRMYa-jXba,gEf22Hwc-GoeR,25,95000,Rent,0.0,Debtconsolidation,B,8000,10.36,0,0.08,N,3
vJNWXylp-hSty,LOYjZnmH-IFXy,higm9BYg-hIBy,22,61200,Rent,6.0,Personal,A,11200,6.62,0,0.18,N,4
JlUHLUZA-rfPy,woPqremP-ROOh,kXb3MoC4-CC80,24,64000,Mortgage,8.0,Education,A,5000,7.88,1,0.08,N,4
LbfKqC8H-PTmY,RT0GuPrC-kzXS,q84AqI13-ts9C,26,95000,Mortgage,0.0,Homeimprovement,D,20000,14.96,0,0.21,N,4
yqR4vYfF-k8B1,"9xQKOhnz-LrpZ",JoCZcfDw-wRPD,24,55000,Mortgage,8.0,Medical,B,15000,9.91,0,0.27,N,3
AKC68iDq-jfMA,"159d2zBS-vhU8",NnraIP8x-FO0U,22,30004,Own,6.0,Education,A,7500,11.02,0,0.25,N,2
ERBmpIPN-lMaW,"5XRNp8To-RvH8",Cic79wRE-9nWL,24,28500,Rent,3.0,Debtconsolidation,B,2500,11.36,0,0.09,N,4
ds2jH5KJ-WuMF,"7rquRb04-0CEL",Cn135ogy-bKDy,22,81600,Mortgage,6.0,Personal,A,1300,6.39,0,0.02,N,3
juwMpikI-PHjn,"0ae6R2mT-ZRFL",SibJdNKl-Uz6I,36,40000,Own,4.0,Venture,B,14000,10.99,0,0.35,N,16
SnPZ9sS7-m50a,aMoqyZ6H-soNo,"6A9m9HOG-1ZuR",24,25000,Mortgage,3.0,Venture,A,9000,7.14,0,0.36,N,4
LPL286b5-nzmc,xTE1h5Kz-PsYS,aqy3O2yH-AIYH,24,47000,Rent,8.0,Debtconsolidation,B,9590,11.49,0,0.19,"",4
yxHeZjn6-XemS,d2QGbH22-CMtL,P0oWRAw9-HItc,22,84000,Mortgage,3.0,Education,A,8000,7.88,0,0.1,N,4
"5mRksQM9-eExJ",EWKeCA52-k771,AE9jiGaA-WlNL,23,35500,Rent,2.0,Homeimprovement,D,9000,15.99,1,0.25,Y,2
cMGahbaS-DxJk,u0taKwHn-ftZx,pPxNrtNT-FMwo,28,90000,Mortgage,3.0,Medical,B,21000,10.74,0,0.23,N,7
ygjtMrWx-nI9B,xMWvaKGM-fRSZ,A6DR8gph-6ZRw,23,34000,Rent,0.0,Medical,A,1000,7.37,0,0.03,N,4
Yu43ay9a-ReKe,SoRUcWf1-Cyse,QDWjg9p2-RtUT,31,65000,Mortgage,4.0,Debtconsolidation,B,20000,11.71,0,0.31,N,9
n30qucW0-y8nf,"2lJGIqQM-bp5M",thjENh4w-5DRM,30,36000,Mortgage,14.0,Homeimprovement,B,7000,10.65,0,0.19,N,5
pzB2WCoa-gXSS,tRWrqNFB-5hR7,GR7jm1kY-7pku,28,95000,Mortgage,5.0,Venture,A,1800,11.02,0,0.07,"",4
xqMuODQ4-JbxS,zYBDqCGl-TBof,cz1g1TXQ-hNmd,26,50760,Rent,3.0,Debtconsolidation,A,9000,8.94,0,0.18,N,2
Jb61xx7S-JbFJ,r3wmPL9A-4fmC,mZNITwLu-mxfU,32,32000,Own,2.0,Venture,C,4000,10.78,0,0.13,Y,5
LhXo81FU-CQbY,"9QPTfl0N-yLWs",rCQLBP32-AvhK,21,90000,Own,6.0,Medical,A,12000,6.03,0,0.13,N,3
RjPafleh-KAdc,YtkbIfc7-fQLZ,"6rRRYPjv-7gdD",25,50000,Rent,6.0,Medical,C,8400,13.22,0,0.17,N,3
"84DWxumS-yr0b",JgiyWF5x-BPmf,u5uWHigC-2BoW,37,56000,Mortgage,2.0,Homeimprovement,A,13000,9.63,0,0.23,N,17
"4lYeiWLm-P0QY",UFYAZiMe-d1Lo,jqGfQoOO-HquX,22,40000,Rent,6.0,Education,D,7200,17.58,0,0.18,Y,2
YcsNIdbf-tpgT,ZiIYXvD7-5Pca,uRyGLHSl-yawC,36,46000,Rent,2.0,Debtconsolidation,C,10000,12.53,0,0.22,N,14
eLcbSsOy-pOY1,XgoYMTuX-dIJ4,GDenwifY-iS7B,35,27996,Rent,14.0,Medical,B,8500,11.58,0,0.3,N,8
DWSEWuzW-0YNY,EenI4oK7-W08Q,wAxLWQ8O-powv,28,34000,Rent,1.0,Venture,B,4800,11.49,0,0.14,N,7
JFCnlUKo-opAW,WqqAxdoR-mNAa,uo02FqyD-sP5N,21,24000,Mortgage,0.0,Venture,A,3000,7.9,0,0.13,N,4
UC6NWKOR-RbOf,JozrbL4N-z2Ai,Q583ALvw-vCL9,23,65000,Mortgage,7.0,Education,A,10000,7.49,0,0.15,N,2
"3XwYwtLG-RaLN",QbqLX8rX-1lZs,XnctQqvQ-SBRt,29,26568,Rent,2.0,Homeimprovement,D,13000,11.02,1,0.27,"",2
uhoTm6sf-eMyr,BPwQZxLO-2wg2,vCjDmWK7-XB2N,24,33996,Rent,2.0,Education,D,5000,14.96,1,0.15,Y,4
pMAiuASI-g8Cy,zkqY9mA4-MCSU,mcinCMIQ-hMCf,26,36000,Mortgage,10.0,Personal,B,10000,9.88,0,0.28,N,3
qkl9hSvt-Fi9m,OHdTdyoD-fF4S,lSDDLAx7-GsUK,24,30996,Own,4.79,Education,A,8000,7.51,0,0.26,N,3
"85D193sz-EEW2",d76Sf5d9-YrdL,"8pKTiRpQ-pyxD",22,57600,Own,6.0,Venture,A,6500,7.49,0,0.11,N,3
LTD2XdcS-ZCv4,ob9Yrlfi-Ocpc,iBDB52Wo-4WAb,24,65000,Mortgage,6.0,Personal,B,11000,11.49,0,0.17,N,2
g1GDvUjj-IoJj,"2hnMHX0e-caej",SkfqfEzL-lKFD,23,45000,Rent,1.0,Debtconsolidation,C,2000,13.49,0,0.04,N,2
PKTQBXKt-OXPB,NBgultND-bFl2,i395QUYN-5Xhf,25,110000,Mortgage,7.0,Education,A,8000,7.14,0,0.07,N,4
oXNrwSN4-pHGd,eouval6d-Q1hc,hMRKJ4gx-1Mf2,28,115000,Mortgage,11.0,Homeimprovement,A,5000,7.51,0,0.04,N,8
RZM2KiLh-8i2b,QwlQUhy4-MDNN,FmdAnKww-CIDB,28,54000,Mortgage,3.0,Venture,B,10000,9.99,0,0.19,N,9
dcRQIdaK-ZrzX,AsZ6UB9S-jvQ3,"4Ao59k8p-P36H",31,100000,Mortgage,6.0,Homeimprovement,C,13000,12.61,0,0.13,N,7
Yppfx7ye-dnEm,neYI3K5k-x6Ir,n8apZLiI-09Ch,35,48000,Rent,13.0,Medical,B,1500,9.91,0,0.03,N,9
Mucn0ump-Stue,BmUhdDn5-YUDX,skrBzl9k-6XSu,24,78000,Mortgage,8.0,Debtconsolidation,A,3600,5.42,0,0.05,N,4
"18UJRYaa-ZMs6",oSUPE75N-HwUi,UfosSYa8-hY8Q,22,64312,Mortgage,4.0,Venture,D,5000,14.91,0,0.08,Y,4
ilY2EZA8-vwR7,X9LO565m-zaEc,UFOpaRIg-2UvG,25,65000,Rent,2.0,Debtconsolidation,B,4200,11.02,0,0.06,N,2
"77H1rZ5Y-tkz0",wokftng5-ZGyM,PWhiUg0I-TkfU,21,24000,Rent,0.0,Education,C,4600,13.99,0,0.19,Y,2
NiumiXy3-ZCWU,k6gvpaPQ-hk69,R2MiB33I-ZKkD,25,45000,Rent,9.0,Debtconsolidation,B,12000,9.62,0,0.27,N,3
c7N00Xkw-EjwP,TDkjPUqd-ndPx,"6Uah3ah8-rfUd",25,61440,Rent,9.0,Venture,B,8000,10.36,0,0.13,N,4
GiP48I8v-4QMo,uYH6bhrT-ewlf,ZSKhw1Wq-Grfc,27,56253,Rent,11.0,Venture,B,10000,11.36,0,0.18,N,8
pKtpPsWm-gBb5,q7gXLqBB-y4RD,gAv0hKgA-0syT,25,95000,Rent,4.0,Venture,B,15000,12.42,0,0.16,N,2
cZ3dxRuS-lB2l,eunTaNcn-U6oS,eTSC5dap-Yf9e,30,48564,Rent,3.0,Venture,B,15000,10.75,1,0.31,N,9
"3wy0ludw-yglN","3Rs9R60I-eB5q",Q3GnSHQW-FZEZ,27,55000,Own,3.0,Education,C,4500,13.49,0,0.08,N,8
iec7AxFC-RCYf,w9XywDLi-L5AZ,q8tgafh8-Yfub,21,41000,Rent,4.0,Debtconsolidation,B,8000,9.91,1,0.2,N,4
SCR3nIDX-ZGl4,"7NhTyM1L-9W88",OrlTCbO3-51eh,23,59500,Mortgage,1.0,Medical,B,20000,11.83,1,0.29,N,4
dbG3c9Xj-9t6u,KryAKsSX-24xU,tBCP33AP-2jj8,29,54000,Rent,2.0,Homeimprovement,B,13575,11.71,1,0.25,N,10
CWovvwpY-JpDc,JjTRFcsY-yIqM,kxfP3RqY-Ac4U,24,86000,Mortgage,8.0,Homeimprovement,B,16000,11.12,0,0.19,N,3
